customer_id,name,gender,age,city,area,loyalty_tier
C0001,Ahmed Malik,Male,39,Karachi,Defence (DHA),Bronze
C0002,Fahad Ali,Male,33,Karachi,Bahadurabad,Bronze
C0003,Usman Qureshi,Male,41,Karachi,Defence (DHA),Bronze
C0004,Fahad Qureshi,Male,50,Karachi,PECHS,Silver
C0005,Rabia Hashmi,Female,32,Karachi,Bahadurabad,Bronze
C0006,Bilal Raza,Male,32,Karachi,Nazimabad,Bronze
C0007,Junaid Sheikh,Male,50,Karachi,North Nazimabad,Bronze
C0008,Bushra Malik,Female,42,Karachi,Tariq Road,Bronze
C0009,Ayesha Sheikh,Female,30,Karachi,Malir,Bronze
C0010,Aroha Baig,Female,40,Karachi,Bahadurabad,Bronze
C0011,Ali Butt,Male,30,Karachi,Tariq Road,Bronze
C0012,Faisal Sheikh,Male,30,Karachi,Malir,Bronze
C0013,Nadia Baig,Female,37,Karachi,Nazimabad,Bronze
C0014,Zara Ansari,Female,18,Karachi,Federal B Area,Silver
C0015,Asad Chaudhry,Male,18,Karachi,Saddar,Gold
C0016,Junaid Ahmed,Male,29,Karachi,Defence (DHA),Silver
C0017,Uzma Malik,Female,24,Karachi,North Nazimabad,Bronze
C0018,Mehwish Rizvi,Female,38,Karachi,Malir,Silver
C0019,Sana Malik,Female,25,Karachi,Clifton,Bronze
C0020,Sobia Raza,Female,20,Karachi,Bahadurabad,Bronze
C0021,Omar Farooq,Male,49,Karachi,Korangi,Bronze
C0022,Hassan Siddiqui,Male,32,Karachi,Gulistan-e-Johar,Bronze
C0023,Aroha Ali,Female,35,Karachi,Malir,Bronze
C0024,Maryam Malik,Female,20,Karachi,Federal B Area,Silver
C0025,Hassan Iqbal,Male,29,Karachi,Tariq Road,Bronze
C0026,Hina Hussain,Female,36,Karachi,Malir,Bronze
C0027,Tariq Farooq,Male,23,Karachi,Tariq Road,Bronze
C0028,Imran Farooq,Male,38,Karachi,Bahadurabad,Bronze
C0029,Nadia Iqbal,Female,28,Karachi,Tariq Road,Gold
C0030,Waseem Mirza,Male,32,Karachi,Korangi,Bronze
C0031,Sara Butt,Female,28,Karachi,Gulshan-e-Iqbal,Bronze
C0032,Usman Rizvi,Male,53,Karachi,Lyari,Bronze
C0033,Omar Rizvi,Male,34,Karachi,Federal B Area,Bronze
C0034,Mehwish Iqbal,Female,24,Karachi,Tariq Road,Silver
C0035,Imran Chaudhry,Male,43,Karachi,Gulistan-e-Johar,Silver
C0036,Maryam Hashmi,Female,22,Karachi,North Nazimabad,Bronze
C0037,Junaid Khan,Male,37,Karachi,Bahadurabad,Bronze
C0038,Ahmed Ali,Male,18,Karachi,PECHS,Silver
C0039,Usman Ahmed,Male,21,Karachi,Lyari,Bronze
C0040,Tariq Rizvi,Male,36,Karachi,Defence (DHA),Bronze
C0041,Rabia Rizvi,Female,42,Karachi,Tariq Road,Bronze
C0042,Hassan Raza,Male,36,Karachi,Nazimabad,Bronze
C0043,Aisha Sheikh,Female,33,Karachi,Gulshan-e-Iqbal,Bronze
C0044,Hina Butt,Female,31,Karachi,Defence (DHA),Bronze
C0045,Sana Raza,Female,20,Karachi,Clifton,Bronze
C0046,Usman Hashmi,Male,27,Karachi,Tariq Road,Silver
C0047,Ali Iqbal,Male,30,Karachi,Lyari,Bronze
C0048,Faisal Ansari,Male,45,Karachi,Malir,Bronze
C0049,Naeem Ahmed,Male,38,Karachi,Clifton,Bronze
C0050,Amna Hashmi,Female,18,Karachi,Saddar,Bronze
C0051,Sana Qureshi,Female,38,Karachi,Saddar,Bronze
C0052,Saad Iqbal,Male,31,Karachi,Gulshan-e-Iqbal,Silver
C0053,Ali Rizvi,Male,28,Karachi,Federal B Area,Gold
C0054,Ali Farooq,Male,41,Karachi,North Nazimabad,Silver
C0055,Waseem Ali,Male,45,Karachi,Gulistan-e-Johar,Silver
C0056,Hina Butt,Female,44,Karachi,Bahadurabad,Bronze
C0057,Salman Farooq,Male,26,Karachi,Nazimabad,Gold
C0058,Junaid Butt,Male,31,Karachi,Saddar,Bronze
C0059,Noor Mirza,Female,38,Karachi,Tariq Road,Gold
C0060,Asad Sheikh,Male,44,Karachi,North Nazimabad,Bronze
C0061,Sana Baig,Female,30,Karachi,North Nazimabad,Silver
C0062,Sara Ansari,Female,33,Karachi,Korangi,Silver
C0063,Aroha Farooq,Female,23,Karachi,Gulshan-e-Iqbal,Silver
C0064,Hina Siddiqui,Female,23,Karachi,Saddar,Bronze
C0065,Fahad Siddiqui,Male,43,Karachi,Saddar,Bronze
C0066,Junaid Qureshi,Male,48,Karachi,Gulistan-e-Johar,Silver
C0067,Maryam Rizvi,Female,34,Karachi,Saddar,Gold
C0068,Usman Raza,Male,45,Karachi,Lyari,Bronze
C0069,Junaid Siddiqui,Male,38,Karachi,Gulistan-e-Johar,Gold
C0070,Asad Iqbal,Male,28,Karachi,PECHS,Bronze
C0071,Hassan Ali,Male,38,Karachi,PECHS,Gold
C0072,Kamran Iqbal,Male,50,Karachi,Clifton,Bronze
C0073,Imran Baig,Male,34,Karachi,Tariq Road,Gold
C0074,Kamran Qureshi,Male,50,Karachi,Gulistan-e-Johar,Bronze
C0075,Kamran Iqbal,Male,18,Karachi,Lyari,Bronze
C0076,Faisal Ansari,Male,43,Karachi,Tariq Road,Silver
C0077,Fatima Ansari,Female,35,Karachi,PECHS,Gold
C0078,Rabia Malik,Female,32,Karachi,Clifton,Silver
C0079,Naeem Ahmed,Male,35,Karachi,Lyari,Bronze
C0080,Asad Baig,Male,18,Karachi,Saddar,Silver
C0081,Faisal Khan,Male,32,Karachi,Gulistan-e-Johar,Bronze
C0082,Amna Ali,Female,38,Karachi,Tariq Road,Bronze
C0083,Ayesha Mirza,Female,49,Karachi,Gulshan-e-Iqbal,Bronze
